Expediente_INVIMA,principio_activo,concentracion,unidad_base,unidad_de_dispensacion,nombre_comercial,fabricante,medicamento,canal,precio_por_tableta,factoresprecio,numerofactor
19975977,Clozapina,Clozapina 25 mg,mg,Tableta o cápsula,Clozapina,Humax,Clozapina (Humax) Tableta o cápsula | Tableta | Contiene: Clozapina 25 mg,Comercial,$   461.00,Alto,3
20106115,Colecalciferol,Colecalciferol 2000 UI,UI,Tableta o cápsula,Deferol,Procaps,Deferol (Procaps) Tableta o cápsula | Capsula | Contiene: Colecalciferol 2000 UI,Comercial,$   833.00,Bajo,1
20062937,Colecalciferol,Colecalciferol 2000 UI,UI,Tableta o cápsula,Farma,Farma,Farma (Farma) Tableta o cápsula | Capsula | Contiene: Colecalciferol 2000 UI,Comercial,"$   1,907.00",Medio,2
20107672,Colecalciferol,Colecalciferol 2000 UI,UI,Tableta o cápsula,Vitamina,Colmed,Vitamina (Colmed) Tableta o cápsula | Capsula | Contiene: Colecalciferol 2000 UI,Comercial,"$   2,095.00",Alto,3
20013455,Colistina + Hidrocortisona + Neomicina,Colistina 1.538 mg + Hidrocortisona 0.5 mg + Neomicina 5 mg,mg,Solución o suspensión ótica,Colistina,Saluspharma,Colistina (Saluspharma) Solución o suspensión ótica | Frasco de 15 ml | Cada 1 ml contiene: Colistina 1.538 mg + Hidrocortisona 0.5 mg + Neomicina 5 mg,Comercial,"$   4,200.00",Bajo,1
20018421,Colistina + Hidrocortisona + Neomicina,Colistina 1.538 mg + Hidrocortisona 0.5 mg + Neomicina 5 mg,mg,Solución o suspensión ótica,Oidolyt,Ah Robins,Oidolyt (Ah Robins) Solución o suspensión ótica | Frasco de 15 ml | Cada 1 ml contiene: Colistina 1.538 mg + Hidrocortisona 0.5 mg + Neomicina 5 mg,Comercial,"$   18,473.00",Medio,2
20033548,Colistina + Hidrocortisona + Neomicina,Colistina 1.538 mg + Hidrocortisona 0.5 mg + Neomicina 5 mg,mg,Solución o suspensión ótica,Fixamicin,Tecnoquimicas,Fixamicin (Tecnoquimicas) Solución o suspensión ótica | Frasco de 15 ml | Cada 1 ml contiene: Colistina 1.538 mg + Hidrocortisona 0.5 mg + Neomicina 5 mg,Comercial,"$   21,475.00",Alto,3
20068003,Daptomicina,Daptomicina 500 mg,mg,Polvo para reconstituir a Solución o suspensión inyectable,Daptomicina,Biospifar,Daptomicina (Biospifar) Polvo para reconstituir a Solución o suspensión inyectable | Vial | Contiene: Daptomicina 500 mg,Comercial,"$   250,000.00",Bajo,1
19981181,Daptomicina,Daptomicina 500 mg,mg,Polvo para reconstituir a Solución o suspensión inyectable,Cubicin,Merck Sharp Dome,Cubicin  (Merck Sharp Dome) Polvo para reconstituir a Solución o suspensión inyectable | Vial de 10 ml | Cada 10 ml contiene: Daptomicina 500 mg,Comercial,"$   254,800.00",Medio,2
20118036,Daptomicina,Daptomicina 500 mg,mg,Polvo para reconstituir a Solución o suspensión inyectable,Daptomred,Dr Reddys,Daptomred (Dr Reddys) Polvo para reconstituir a Solución o suspensión inyectable | Vial | Contiene: Daptomicina 500 mg,Comercial,"$   271,092.00",Alto,3
20094185,Desogestrel,Desogestrel 0.075 mg,mg,Tableta o cápsula,Tejania,Gedeon Richter,Tejania (Gedeon Richter) Tableta o cápsula | Tableta | Contiene: Desogestrel 0.075 mg,Comercial,$   886.00,Bajo,1
19999543,Desogestrel,Desogestrel 0.075 mg,mg,Tableta o cápsula,Arlette,Synthesis,Arlette (Synthesis) Tableta o cápsula | Tableta | Contiene: Desogestrel 0.075 mg,Comercial,"$   1,523.00",Medio,2
19924192,Desogestrel,Desogestrel 0.075 mg,mg,Tableta o cápsula,Cerazette,Organon,Cerazette  (Organon) Tableta o cápsula | Tableta | Contiene: Desogestrel 0.075 mg,Comercial,"$   1,563.00",Alto,3
20097800,Dexametasona,Dexametasona 0.75 mg,mg,Tableta o cápsula,Balancort,Balance,Balancort (Balance) Tableta o cápsula | Tableta | Contiene: Dexametasona 0.75 mg,Comercial,$   62.00,Bajo,1
20122749,Dexametasona,Dexametasona 0.75 mg,mg,Tableta o cápsula,Dexalyl,Bethel,Dexalyl (Bethel) Tableta o cápsula | Tableta | Contiene: Dexametasona 0.75 mg,Comercial,"$   1,154.00",Medio,2
40785,Dexametasona,Dexametasona 0.75 mg,mg,Tableta o cápsula,Deltafluorene,Sanofi Aventis,Deltafluorene (Sanofi Aventis) Tableta o cápsula | Tableta | Contiene: Dexametasona 0.75 mg,Comercial,"$   1,262.00",Alto,3
20152255,Dexametasona + Neomicina + Polimixina B,Dexametasona 1.3 mg + Neomicina 3.5 mg + Polimixina B 6600 UI,mg,Solución o suspensión oftálmica,Ocutrix,Farmaser,Ocutrix (Farmaser) Solución o suspensión oftálmica | Frasco de 5 ml | Cada 1 ml contiene: Dexametasona 1.3 mg + Neomicina 3.5 mg + Polimixina B 6600 UI,Comercial,"$   6,450.00",Bajo,1
19938816,Dexametasona + Neomicina + Polimixina B,Dexametasona 1.3 mg + Neomicina 3.5 mg + Polimixina B 6600 UI,mg,Solución o suspensión oftálmica,Opharflex,Opharm,Opharflex (Opharm) Solución o suspensión oftálmica | Frasco de 5 ml | Cada 5 ml contiene: Dexametasona 1.3 mg + Neomicina 3.5 mg + Polimixina B 6600 UI,Comercial,"$   11,313.00",Medio,2
20077280,Dexametasona + Neomicina + Polimixina B,Dexametasona 1.3 mg + Neomicina 3.5 mg + Polimixina B 6600 UI,mg,Solución o suspensión oftálmica,Miracort- F,Biochem,Miracort- F (Biochem) Solución o suspensión oftálmica | Frasco de 5 ml | Cada 1 ml contiene: Dexametasona 1.3 mg + Neomicina 3.5 mg + Polimixina B 6600 UI,Comercial,"$   14,237.00",Alto,3
19934762,Dexametasona,Dexametasona 8 mg,mg,Solución o suspensión inyectable,Dexametasona,Ryan,Dexametasona (Ryan) Solución o suspensión inyectable | Ampolla de 2 ml | Cada 2 ml contiene: Dexametasona 8 mg,Comercial,"$   1,292.00",Bajo,1
19954445,Dexametasona,Dexametasona 8 mg,mg,Solución o suspensión inyectable,Dexablas,Blaskov,Dexablas (Blaskov) Solución o suspensión inyectable | Ampolla de 2 ml | Cada 2 ml contiene: Dexametasona 8 mg,Comercial,"$   1,750.00",Medio,2
20019105,Dexametasona,Dexametasona 8 mg,mg,Solución o suspensión inyectable,Dexametasona,Vitalis,Dexametasona (Vitalis) Solución o suspensión inyectable | Ampolla de 2 ml | Cada 2 ml contiene: Dexametasona 8 mg,Comercial,"$   2,480.00",Alto,3
20091585,Dexlansoprazol,Dexlansoprazol 30 mg,mg,Tableta o cápsula de liberación modificada,Lamprazol,Bcn Medical,Lamprazol (Bcn Medical) Tableta o cápsula de liberación modificada | Capsula | Contiene: Dexlansoprazol 30 mg,Comercial,"$   4,189.00",Bajo,1
20079140,Dexlansoprazol,Dexlansoprazol 30 mg,mg,Tableta o cápsula de liberación modificada,Dexlanzopral,Scandinavia Pharma,Dexlanzopral (Scandinavia Pharma) Tableta o cápsula de liberación modificada | Capsula | Contiene: Dexlansoprazol 30 mg,Comercial,"$   5,739.00",Medio,2
20050924,Dexlansoprazol,Dexlansoprazol 30 mg,mg,Tableta o cápsula de liberación modificada,Dexilant,Baxalta,Dexilant (Baxalta) Tableta o cápsula de liberación modificada | Capsula | Contiene: Dexlansoprazol 30 mg,Comercial,"$   7,958.00",Alto,3
46304,Dextrano + Hidroxipropilmetilcelulosa,Dextrano 1 mg + Hidroxipropilmetilcelulosa 3 mg,mg,Solución o suspensión oftálmica,Tears,Alcon,Tears (Alcon) Solución o suspensión oftálmica | Frasco de 0.4 ml | Cada 1 ml contiene: Dextrano 1 mg + Hidroxipropilmetilcelulosa 3 mg,Comercial,"$   3,565.00",Bajo,1
19937169,Dextrano + Hidroxipropilmetilcelulosa,Dextrano 1 mg + Hidroxipropilmetilcelulosa 3 mg,mg,Solución o suspensión oftálmica,Lagrifresh,Procaps,Lagrifresh (Procaps) Solución o suspensión oftálmica | Frasco de 6 ml | Cada 1 ml contiene: Dextrano 1 mg + Hidroxipropilmetilcelulosa 3 mg,Comercial,"$   19,400.00",Medio,2
22231,Dextrano + Hidroxipropilmetilcelulosa,Dextrano 1 mg + Hidroxipropilmetilcelulosa 3 mg,mg,Solución o suspensión oftálmica,Tears,Alcon,Tears (Alcon) Solución o suspensión oftálmica | Frasco de 15 ml | Cada 1 ml contiene: Dextrano 1 mg + Hidroxipropilmetilcelulosa 3 mg,Comercial,"$   33,500.00",Alto,3
19960955,Diclofenaco,Diclofenaco 100 mg,mg,Tableta o cápsula,Diclofenaco,La Sante,Diclofenaco (La Sante) Tableta o cápsula | Capsula | Contiene: Diclofenaco 100 mg,Comercial,$   429.00,Bajo,1
20023538,Diclofenaco,Diclofenaco 100 mg,mg,Tableta o cápsula,Dizmofen,Bioquifar,Dizmofen (Bioquifar) Tableta o cápsula | Capsula | Contiene: Diclofenaco 100 mg,Comercial,$   540.00,Medio,2
20054785,Diclofenaco,Diclofenaco 100 mg,mg,Tableta o cápsula,Dormex,Novamed,Dormex (Novamed) Tableta o cápsula | Capsula | Contiene: Diclofenaco 100 mg,Comercial,"$   2,201.00",Alto,3
55156,Diclofenaco,Diclofenaco 100 mg,mg,Tableta o cápsula de liberación modificada,Diclofenaco,Mk,Diclofenaco (Mk) Tableta o cápsula de liberación modificada | Capsula | Contiene: Diclofenaco 100 mg,Comercial,$   552.00,Bajo,1
19986823,Diclofenaco,Diclofenaco 100 mg,mg,Tableta o cápsula de liberación modificada,Diclofenaco,American Generics,Diclofenaco (American Generics) Tableta o cápsula de liberación modificada | Capsula | Contiene: Diclofenaco 100 mg,Comercial,"$   2,253.00",Medio,2
227370,Diclofenaco,Diclofenaco 100 mg,mg,Tableta o cápsula de liberación modificada,Voltaren,Novartis,Voltaren (Novartis) Tableta o cápsula de liberación modificada | Tableta | Contiene: Diclofenaco 100 mg,Comercial,"$   5,247.00",Alto,3
50941,Diclofenaco,Diclofenaco 15 mg,mg,Solución o suspensión oral,Quimar,Armofar,Quimar (Armofar) Solución o suspensión oral | Frasco de 30 ml | Cada 1 ml contiene: Diclofenaco 15 mg,Comercial,"$   3,741.00",Bajo,1
19947544,Diclofenaco,Diclofenaco 15 mg,mg,Solución o suspensión oral,Algifen,Biochem,Algifen (Biochem) Solución o suspensión oral | Frasco de 20 ml | Cada 1 ml contiene: Diclofenaco 15 mg,Comercial,"$   19,112.00",Medio,2
19907966,Diclofenaco,Diclofenaco 15 mg,mg,Solución o suspensión oral,Flamydol,Unipharm,Flamydol (Unipharm) Solución o suspensión oral | Frasco de 20 ml | Cada 1 ml contiene: Diclofenaco 15 mg,Comercial,"$   28,859.00",Alto,3
20050875,Diclofenaco,Diclofenaco 500 mg,mg,Tableta o cápsula,Diclopil,Europharma,Diclopil  (Europharma) Tableta o cápsula | Capsula | Contiene: Diclofenaco 500 mg,Comercial,$   352.00,Bajo,1
20034335,Diclofenaco,Diclofenaco 500 mg,mg,Tableta o cápsula,Diclogran,Gimed,Diclogran (Gimed) Tableta o cápsula | Capsula | Contiene: Diclofenaco 500 mg,Comercial,$   816.00,Medio,2
20024621,Diclofenaco,Diclofenaco 500 mg,mg,Tableta o cápsula,Prediclox,Tridex,Prediclox  (Tridex) Tableta o cápsula | Capsula | Contiene: Diclofenaco 500 mg,Comercial,"$   1,102.00",Alto,3
20083881,Dicloxacilina,Dicloxacilina 250 mg,mg,Polvo para reconstituir a Solución o suspensión oral,Dicloxacilina,Ophalac,Dicloxacilina (Ophalac) Polvo para reconstituir a Solución o suspensión oral | Frasco de 80 ml | Cada 5 ml contiene: Dicloxacilina 250 mg,Comercial,"$   8,200.00",Bajo,1
228279,Dicloxacilina,Dicloxacilina 250 mg,mg,Polvo para reconstituir a Solución o suspensión oral,Dicloxacilina,La Sante,Dicloxacilina (La Sante) Polvo para reconstituir a Solución o suspensión oral | Frasco de 60 ml | Cada 5 ml contiene: Dicloxacilina 250 mg,Comercial,"$   11,520.00",Medio,2
20064747,Dicloxacilina,Dicloxacilina 250 mg,mg,Polvo para reconstituir a Solución o suspensión oral,Diclocil,Ah Robins,Diclocil (Ah Robins) Polvo para reconstituir a Solución o suspensión oral | Frasco de 80 ml | Cada 5 ml contiene: Dicloxacilina 250 mg,Comercial,"$   35,857.00",Alto,3
19955900,Dihidrocodeina,Dihidrocodeina 0.242 g,g,Jarabe,Dihidrocodeina,La Sante,Dihidrocodeina (La Sante) Jarabe | Frasco de 120 ml | Cada 100 ml contiene: Dihidrocodeina 0.242 g,Comercial,"$   8,297.00",Bajo,1
19912860,Dihidrocodeina,Dihidrocodeina 0.242 g,g,Jarabe,Dihidrocodeina,Sanofi Aventis,Dihidrocodeina (Sanofi Aventis) Jarabe | Frasco de 120 ml | Cada 100 ml contiene: Dihidrocodeina 0.242 g,Comercial,"$   8,895.00",Medio,2
31398,Dihidrocodeina,Dihidrocodeina 0.242 g,g,Jarabe,Paracodina,Legrand,Paracodina (Legrand) Jarabe | Frasco de 120 ml | Cada 100 ml contiene: Dihidrocodeina 0.242 g,Comercial,"$   30,370.00",Alto,3
1984621,Dinitrato De Isosorbida,Dinitrato De Isosorbida 10 mg,mg,Tableta o cápsula,Dinitrato,Pentacoop,Dinitrato (Pentacoop) Tableta o cápsula | Tableta | Contiene: Dinitrato De Isosorbida 10 mg,Comercial,$   4.00,Bajo,1
37247,Dinitrato De Isosorbida,Dinitrato De Isosorbida 10 mg,mg,Tableta o cápsula,Isocord,Bago,Isocord (Bago) Tableta o cápsula | Tableta | Contiene: Dinitrato De Isosorbida 10 mg,Comercial,"$   1,874.00",Medio,2
19951877,Dinitrato De Isosorbida,Dinitrato De Isosorbida 10 mg,mg,Tableta o cápsula,Dinitrato,Laproff,Dinitrato (Laproff) Tableta o cápsula | Tableta | Contiene: Dinitrato De Isosorbida 10 mg,Comercial,"$   3,482.00",Alto,3
20104263,Diosmectita,Diosmectita 3 g,g,Polvo para reconstituir a Solución o suspensión oral,Antyl,Biochem,Antyl (Biochem) Polvo para reconstituir a Solución o suspensión oral | Sobre | Contiene: Diosmectita 3 g,Comercial,"$   3,625.00",Bajo,1
20150853,Diosmectita,Diosmectita 3 g,g,Polvo para reconstituir a Solución o suspensión oral,Bispeptol,Best,Bispeptol (Best) Polvo para reconstituir a Solución o suspensión oral | Frasco | Contiene: Diosmectita 3 g,Comercial,"$   4,983.00",Medio,2
20092419,Diosmectita,Diosmectita 3 g,g,Polvo para reconstituir a Solución o suspensión oral,Treda,Bussié,Treda (Bussié) Polvo para reconstituir a Solución o suspensión oral | Sobre de 3.8 g | Contiene: Diosmectita 3 g,Comercial,"$   11,778.00",Alto,3
19961724,Diosmectita,Diosmectita 3000 mg,mg,Polvo para reconstituir a Solución o suspensión oral,Diosmit,Sygma,Diosmit (Sygma) Polvo para reconstituir a Solución o suspensión oral | Frasco | Cada 3.76 g contiene: Diosmectita 3000 mg,Comercial,"$   1,488.00",Bajo,1
20085387,Diosmectita,Diosmectita 3000 mg,mg,Polvo para reconstituir a Solución o suspensión oral,Muciprot,Tecnoquimicas,Muciprot (Tecnoquimicas) Polvo para reconstituir a Solución o suspensión oral | Frasco de 3.76 g | Contiene: Diosmectita 3000 mg,Comercial,"$   5,240.00",Medio,2
226986,Diosmectita,Diosmectita 3000 mg,mg,Polvo para reconstituir a Solución o suspensión oral,Smecta,Beaufour Ipsen,Smecta (Beaufour Ipsen) Polvo para reconstituir a Solución o suspensión oral | Frasco de 4.76 g | Contiene: Diosmectita 3000 mg,Comercial,"$   10,988.00",Alto,3
19973513,Donepezil,Donepezil 5 mg,mg,Tableta o cápsula,Glix,Scandinavia Pharma,Glix (Scandinavia Pharma) Tableta o cápsula | Tableta | Contiene: Donepezil 5 mg,Comercial,$   684.00,Bajo,1
19993777,Donepezil,Donepezil 5 mg,mg,Tableta o cápsula,Donepezilo,La Sante,Donepezilo (La Sante) Tableta o cápsula | Tableta | Contiene: Donepezil 5 mg,Comercial,"$   1,726.00",Medio,2
19946098,Donepezil,Donepezil 5 mg,mg,Tableta o cápsula,Alzit,Procaps,Alzit  (Procaps) Tableta o cápsula | Tableta | Contiene: Donepezil 5 mg,Comercial,"$   1,798.00",Alto,3
20088707,Doripenem,Doripenem 600 mg,mg,Polvo para reconstituir a Solución o suspensión inyectable,Dorvak,Vicar,Dorvak (Vicar) Polvo para reconstituir a Solución o suspensión inyectable | Vial | Contiene: Doripenem 600 mg,Comercial,"$   51,136.00",Bajo,1
20091955,Doripenem,Doripenem 600 mg,mg,Polvo para reconstituir a Solución o suspensión inyectable,Doripure,Aurobindo,Doripure (Aurobindo) Polvo para reconstituir a Solución o suspensión inyectable | Vial de 30 ml | Cada 30 ml contiene: Doripenem 600 mg,Comercial,"$   62,400.00",Medio,2
19993380,Doripenem,Doripenem 600 mg,mg,Polvo para reconstituir a Solución o suspensión inyectable,Doribax,Baxalta,Doribax (Baxalta) Polvo para reconstituir a Solución o suspensión inyectable | Vial | Contiene: Doripenem 600 mg,Comercial,"$   80,390.00",Alto,3
20012427,Drospirenona + Estradiol,Drospirenona 2 mg + Estradiol 1 mg,mg,Tableta o cápsula,Clinomat,Synthesis,Clinomat (Synthesis) Tableta o cápsula | Tableta | Contiene: Drospirenona 2 mg + Estradiol 1 mg,Comercial,"$   1,197.00",Bajo,1
19946953,Drospirenona + Estradiol,Drospirenona 2 mg + Estradiol 1 mg,mg,Tableta o cápsula,Angeliq,Bayer,Angeliq (Bayer) Tableta o cápsula | Tableta | Contiene: Drospirenona 2 mg + Estradiol 1 mg,Comercial,"$   1,331.00",Medio,2
19991314,Drospirenona + Estradiol,Drospirenona 2 mg + Estradiol 1 mg,mg,Tableta o cápsula,Marcelle,Procaps,Marcelle (Procaps) Tableta o cápsula | Tableta | Contiene: Drospirenona 2 mg + Estradiol 1 mg,Comercial,"$   3,107.00",Alto,3
19960642,Enoxaparina,Enoxaparina 80 mg,mg,Solución o suspensión inyectable,Enoxpar,Chalver,Enoxpar (Chalver) Solución o suspensión inyectable | Ampolla de 0.8 ml | Cada 0.8 ml contiene: Enoxaparina 80 mg,Comercial,"$   21,000.00",Bajo,1
19953050,Enoxaparina,Enoxaparina 80 mg,mg,Solución o suspensión inyectable,Clenox,Procaps,Clenox (Procaps) Solución o suspensión inyectable | Ampolla de 0.8 ml | Cada 0.8 ml contiene: Enoxaparina 80 mg,Comercial,"$   37,364.00",Medio,2
56401,Enoxaparina,Enoxaparina 80 mg,mg,Solución o suspensión inyectable,Clexane,Sanofi Aventis,Clexane (Sanofi Aventis) Solución o suspensión inyectable | Ampolla de 0.8 ml | Cada 0.8 ml contiene: Enoxaparina 80 mg,Comercial,"$   90,767.00",Alto,3
19964241,Entecavir,Entecavir 0.5 mg,mg,Tableta o cápsula,Baraclude,Bristol Myers Squibb,Baraclude (Bristol Myers Squibb) Tableta o cápsula | Tableta | Contiene: Entecavir 0.5 mg,Comercial,$   670.00,Bajo,1
20109354,Entecavir,Entecavir 0.5 mg,mg,Tableta o cápsula,Vorix,Lafrancol,Vorix (Lafrancol) Tableta o cápsula | Tableta | Contiene: Entecavir 0.5 mg,Comercial,$   670.00,Medio,2
20126250,Entecavir,Entecavir 0.5 mg,mg,Tableta o cápsula,Tecaben,Hetero,Tecaben (Hetero) Tableta o cápsula | Tableta | Contiene: Entecavir 0.5 mg,Comercial,"$   19,333.00",Alto,3
20109429,Entecavir,Entecavir 1 mg,mg,Tableta o cápsula,Vorix,Lafrancol,Vorix (Lafrancol) Tableta o cápsula | Tableta | Contiene: Entecavir 1 mg,Comercial,"$   1,341.00",Bajo,1
20126248,Entecavir,Entecavir 1 mg,mg,Tableta o cápsula,Tecaben1,Hetero,Tecaben1 (Hetero) Tableta o cápsula | Tableta | Contiene: Entecavir 1 mg,Comercial,"$   33,333.00",Medio,2
19964164,Entecavir,Entecavir 1 mg,mg,Tableta o cápsula,Baraclude,Bristol Myers Squibb,Baraclude (Bristol Myers Squibb) Tableta o cápsula | Tableta | Contiene: Entecavir 1 mg,Comercial,"$   40,229.00",Alto,3
19930286,Epinefrina,Epinefrina 1 mg,mg,Solución o suspensión inyectable,Epinefrina,Sanderson,Epinefrina (Sanderson) Solución o suspensión inyectable | Ampolla de 1 ml | Cada 1 ml contiene: Epinefrina 1 mg,Comercial,$   37.00,Bajo,1
42849,Epinefrina,Epinefrina 1 mg,mg,Solución o suspensión inyectable,Adrenalina,Ecar,Adrenalina (Ecar) Solución o suspensión inyectable | Ampolla de 1 ml | Cada 1 ml contiene: Epinefrina 1 mg,Comercial,"$   4,595.00",Medio,2
20032463,Epinefrina,Epinefrina 1 mg,mg,Solución o suspensión inyectable,Epinefrina,Biosano,Epinefrina (Biosano) Solución o suspensión inyectable | Ampolla de 1 ml | Cada 1 ml contiene: Epinefrina 1 mg,Comercial,"$   48,000.00",Alto,3
20139404,Eplerenona,Eplerenona 25 mg,mg,Tableta o cápsula,Epnone,Msn Laboratories Private,Epnone (Msn Laboratories Private) Tableta o cápsula | Tableta | Contiene: Eplerenona 25 mg,Comercial,"$   2,439.00",Bajo,1
20047198,Eplerenona,Eplerenona 25 mg,mg,Tableta o cápsula,Inspra,Pfizer,Inspra (Pfizer) Tableta o cápsula | Tableta | Contiene: Eplerenona 25 mg,Comercial,"$   3,147.00",Medio,2
20024252,Eplerenona,Eplerenona 25 mg,mg,Tableta o cápsula,Acenol,Synthesis,Acenol (Synthesis) Tableta o cápsula | Tableta | Contiene: Eplerenona 25 mg,Comercial,"$   3,183.00",Alto,3
20139405,Eplerenona,Eplerenona 50 mg,mg,Tableta o cápsula,Epnone,Msn Laboratories Private,Epnone (Msn Laboratories Private) Tableta o cápsula | Tableta | Contiene: Eplerenona 50 mg,Comercial,"$   3,049.00",Bajo,1
20035401,Eplerenona,Eplerenona 50 mg,mg,Tableta o cápsula,Inspra,Pfizer,Inspra (Pfizer) Tableta o cápsula | Tableta | Contiene: Eplerenona 50 mg,Comercial,"$   4,403.00",Medio,2
20055572,Eplerenona,Eplerenona 50 mg,mg,Tableta o cápsula,Acenol,Synthesis,Acenol (Synthesis) Tableta o cápsula | Tableta | Contiene: Eplerenona 50 mg,Comercial,"$   4,476.00",Alto,3
20047839,Eritropoyetina,Eritropoyetina 2000 UI,UI,Solución o suspensión inyectable,Eritropoyetina,Centro De Inmunologia Molecular,Eritropoyetina (Centro De Inmunologia Molecular) Solución o suspensión inyectable | Ampolla de 1 ml | Cada 1 ml contiene: Eritropoyetina 2000 UI,Comercial,"$   5,000.00",Bajo,1
20096478,Eritropoyetina,Eritropoyetina 2000 UI,UI,Solución o suspensión inyectable,Eritromax,Blau,Eritromax (Blau) Solución o suspensión inyectable | Ampolla de 1 ml | Cada 1 ml contiene: Eritropoyetina 2000 UI,Comercial,"$   21,598.00",Medio,2
20005999,Eritropoyetina,Eritropoyetina 2000 UI,UI,Solución o suspensión inyectable,Eritropoyetina,Scandinavia Pharma,Eritropoyetina (Scandinavia Pharma) Solución o suspensión inyectable | Ampolla de 1 ml | Cada 1 ml contiene: Eritropoyetina 2000 UI,Comercial,"$   36,180.00",Alto,3
20138566,Escitalopram,Escitalopram   20 mg,mg,Tableta o cápsula,Escitavitae,Galenicum Health,Escitavitae  (Galenicum Health) Tableta o cápsula | Tableta | Contiene: Escitalopram   20 mg,Comercial,"$   3,653.00",Bajo,1
20048552,Escitalopram,Escitalopram   20 mg,mg,Tableta o cápsula,Zepax,Siegfried,Zepax (Siegfried) Tableta o cápsula | Tableta | Contiene: Escitalopram   20 mg,Comercial,"$   5,396.00",Medio,2
19965865,Escitalopram,Escitalopram   20 mg,mg,Tableta o cápsula,Neo Zenitus,Scandinavia Pharma,Neo Zenitus (Scandinavia Pharma) Tableta o cápsula | Tableta | Contiene: Escitalopram   20 mg,Comercial,"$   12,239.00",Alto,3
20089319,Esomeprazol,Esomeprazol 10 mg,mg,Polvos o granulados,Esomed,Novamed,Esomed (Novamed) Polvos o granulados | Sobre | Contiene: Esomeprazol 10 mg,Comercial,"$   4,349.00",Bajo,1
19995986,Esomeprazol,Esomeprazol 10 mg,mg,Polvos o granulados,Nexium,Astrazeneca,Nexium (Astrazeneca) Polvos o granulados | Sobre | Contiene: Esomeprazol 10 mg,Comercial,"$   5,217.00",Medio,2
20015512,Esomeprazol,Esomeprazol 10 mg,mg,Polvos o granulados,Nedox,Lafrancol,Nedox (Lafrancol) Polvos o granulados | Sobre | Contiene: Esomeprazol 10 mg,Comercial,"$   5,349.00",Alto,3
20031866,Esomeprazol + Meloxicam,Esomeprazol 20 mg + Meloxicam 7.5 mg,mg,Tableta o cápsula,Ocam,Galeno Quimica,Ocam (Galeno Quimica) Tableta o cápsula | Tableta | Contiene: Esomeprazol 20 mg + Meloxicam 7.5 mg,Comercial,"$   4,361.00",Bajo,1
20082892,Esomeprazol + Meloxicam,Esomeprazol 20 mg + Meloxicam 7.5 mg,mg,Tableta o cápsula,Melocam,Lafrancol,Melocam (Lafrancol) Tableta o cápsula | Tableta | Contiene: Esomeprazol 20 mg + Meloxicam 7.5 mg,Comercial,"$   4,768.00",Medio,2
20038735,Esomeprazol + Meloxicam,Esomeprazol 20 mg + Meloxicam 7.5 mg,mg,Tableta o cápsula,Rumonal,Legrand,Rumonal (Legrand) Tableta o cápsula | Capsula | Contiene: Esomeprazol 20 mg + Meloxicam 7.5 mg,Comercial,"$   5,003.00",Alto,3
229367,Estrogenos Conjugados,Estrogenos Conjugados 62.5 mg,mg,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Premarin,Pfizer,Premarin (Pfizer) Cremas o geles o ungüentos o pomadas o pastas o jaleas | Tubo | Cada 100 g contiene: Estrogenos Conjugados 62.5 mg,Comercial,"$   59,508.00",Bajo,1
19934993,Estrogenos Conjugados,Estrogenos Conjugados 62.5 mg,mg,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Estermax,Chalver,Estermax (Chalver) Cremas o geles o ungüentos o pomadas o pastas o jaleas | Tubo de 20 g | Cada 100 g contiene: Estrogenos Conjugados 62.5 mg,Comercial,"$   73,780.00",Medio,2
19993161,Estrogenos Conjugados,Estrogenos Conjugados 62.5 mg,mg,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Feveny,Bcn Medical,Feveny (Bcn Medical) Cremas o geles o ungüentos o pomadas o pastas o jaleas | Tubo de 20 g | Cada 100 g contiene: Estrogenos Conjugados 62.5 mg,Comercial,"$   105,373.00",Alto,3
19972706,Etamsilato,Etamsilato 500 mg,mg,Tableta o cápsula,Stan,Stelar,Stan (Stelar) Tableta o cápsula | Tableta | Contiene: Etamsilato 500 mg,Comercial,"$   1,475.00",Bajo,1
34073,Etamsilato,Etamsilato 500 mg,mg,Tableta o cápsula,Quercetol,Siegfried,Quercetol (Siegfried) Tableta o cápsula | Tableta | Contiene: Etamsilato 500 mg,Comercial,"$   4,008.00",Medio,2
20013781,Etamsilato,Etamsilato 500 mg,mg,Tableta o cápsula,Dicynone,Om,Dicynone (Om) Tableta o cápsula | Capsula | Contiene: Etamsilato 500 mg,Comercial,"$   5,699.00",Alto,3
19951646,Etoposido,Etoposido 100 mg,mg,Solución o suspensión inyectable,Etoposido,Blau,Etoposido (Blau) Solución o suspensión inyectable | Ampolla | Contiene: Etoposido 100 mg,Comercial,"$   1,207.00",Bajo,1
20048821,Etoposido,Etoposido 100 mg,mg,Solución o suspensión inyectable,Etoposido,Ropsohn,Etoposido (Ropsohn) Solución o suspensión inyectable | Ampolla de 5 ml | Cada 1 ml contiene: Etoposido 100 mg,Comercial,"$   8,850.00",Medio,2
19982071,Etoposido,Etoposido 100 mg,mg,Solución o suspensión inyectable,Etoposido,Venus,Etoposido (Venus) Solución o suspensión inyectable | Ampolla de 5 ml | Cada 5 ml contiene: Etoposido 100 mg,Comercial,"$   17,050.00",Alto,3
